"No.","Time","Source","Destination","Protocol","Length","Info"
"11","0.000000","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 12268; Unit: 255, Func:   3: Read Holding Registers"
"12","0.023542","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 12268; Unit: 255, Func:   3: Read Holding Registers"
"15","0.276445","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 12269; Unit: 255, Func:   3: Read Holding Registers"
"16","0.005877","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 12269; Unit: 255, Func:   3: Read Holding Registers"
"18","0.294400","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 12270; Unit: 255, Func:   3: Read Holding Registers"
"19","0.009275","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 12270; Unit: 255, Func:   3: Read Holding Registers"
"21","0.290496","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 12271; Unit: 255, Func:   3: Read Holding Registers"
"22","0.007549","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 12271; Unit: 255, Func:   3: Read Holding Registers"
"36","1.093418","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 12272; Unit: 255, Func:   3: Read Holding Registers"
"37","0.006723","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 12272; Unit: 255, Func:   3: Read Holding Registers"
"39","0.298041","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 12273; Unit: 255, Func:   3: Read Holding Registers"
"40","0.001854","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 12273; Unit: 255, Func:   3: Read Holding Registers"
"44","0.293552","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 12274; Unit: 255, Func:   3: Read Holding Registers"
"45","0.024778","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 12274; Unit: 255, Func:   3: Read Holding Registers"
"47","0.275319","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 12275; Unit: 255, Func:   3: Read Holding Registers"
"48","0.051623","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 12275; Unit: 255, Func:   3: Read Holding Registers"
"64","1.049173","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 12276; Unit: 255, Func:   3: Read Holding Registers"
"65","0.021035","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 12276; Unit: 255, Func:   3: Read Holding Registers"
"68","0.280181","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 12277; Unit: 255, Func:   3: Read Holding Registers"
"69","0.009466","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 12277; Unit: 255, Func:   3: Read Holding Registers"
"72","0.289267","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 12278; Unit: 255, Func:   3: Read Holding Registers"
"73","0.023217","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 12278; Unit: 255, Func:   3: Read Holding Registers"
"80","0.276842","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 12279; Unit: 255, Func:   3: Read Holding Registers"
"81","0.060062","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 12279; Unit: 255, Func:   3: Read Holding Registers"
"108","1.040749","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 12280; Unit: 255, Func:   3: Read Holding Registers"
"109","0.030323","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 12280; Unit: 255, Func:   3: Read Holding Registers"
"112","0.269474","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 12281; Unit: 255, Func:   3: Read Holding Registers"
"113","0.018295","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 12281; Unit: 255, Func:   3: Read Holding Registers"
"115","0.281629","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 12282; Unit: 255, Func:   3: Read Holding Registers"
"116","0.027881","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 12282; Unit: 255, Func:   3: Read Holding Registers"
"118","0.272216","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 12283; Unit: 255, Func:   3: Read Holding Registers"
"119","0.023198","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 12283; Unit: 255, Func:   3: Read Holding Registers"
"133","1.077818","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 12284; Unit: 255, Func:   3: Read Holding Registers"
"134","0.021596","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 12284; Unit: 255, Func:   3: Read Holding Registers"
"136","0.278286","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 12285; Unit: 255, Func:   3: Read Holding Registers"
"137","0.030704","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 12285; Unit: 255, Func:   3: Read Holding Registers"
"139","0.269556","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 12286; Unit: 255, Func:   3: Read Holding Registers"
"141","0.013491","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 12286; Unit: 255, Func:   3: Read Holding Registers"
"144","0.286240","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 12287; Unit: 255, Func:   3: Read Holding Registers"
"145","0.017490","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 12287; Unit: 255, Func:   3: Read Holding Registers"
"163","1.083637","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 12288; Unit: 255, Func:   3: Read Holding Registers"
"164","0.014715","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 12288; Unit: 255, Func:   3: Read Holding Registers"
"166","0.285144","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 12289; Unit: 255, Func:   3: Read Holding Registers"
"167","0.029013","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 12289; Unit: 255, Func:   3: Read Holding Registers"
"171","0.271192","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 12290; Unit: 255, Func:   3: Read Holding Registers"
"173","0.032692","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 12290; Unit: 255, Func:   3: Read Holding Registers"
"175","0.281873","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 12291; Unit: 255, Func:   3: Read Holding Registers"
