"No.","Time","Source","Destination","Protocol","Length","Info"
"11","0.000000","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13000; Unit: 255, Func:   3: Read Holding Registers"
"12","0.003541","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13000; Unit: 255, Func:   3: Read Holding Registers"
"16","0.296473","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13001; Unit: 255, Func:   3: Read Holding Registers"
"17","0.005256","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13001; Unit: 255, Func:   3: Read Holding Registers"
"19","0.295152","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13002; Unit: 255, Func:   3: Read Holding Registers"
"20","0.005132","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13002; Unit: 255, Func:   3: Read Holding Registers"
"22","0.294979","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13003; Unit: 255, Func:   3: Read Holding Registers"
"23","0.007035","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13003; Unit: 255, Func:   3: Read Holding Registers"
"33","1.093732","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13004; Unit: 255, Func:   3: Read Holding Registers"
"34","0.021358","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13004; Unit: 255, Func:   3: Read Holding Registers"
"37","0.278562","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13005; Unit: 255, Func:   3: Read Holding Registers"
"38","0.017475","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13005; Unit: 255, Func:   3: Read Holding Registers"
"40","0.282424","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13006; Unit: 255, Func:   3: Read Holding Registers"
"41","0.031249","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13006; Unit: 255, Func:   3: Read Holding Registers"
"43","0.268795","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13007; Unit: 255, Func:   3: Read Holding Registers"
"44","0.014209","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13007; Unit: 255, Func:   3: Read Holding Registers"
"59","1.086971","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13008; Unit: 255, Func:   3: Read Holding Registers"
"60","0.009393","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13008; Unit: 255, Func:   3: Read Holding Registers"
"63","0.290352","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13009; Unit: 255, Func:   3: Read Holding Registers"
"64","0.005692","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13009; Unit: 255, Func:   3: Read Holding Registers"
"66","0.294280","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13010; Unit: 255, Func:   3: Read Holding Registers"
"67","0.016450","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13010; Unit: 255, Func:   3: Read Holding Registers"
"69","0.287988","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13011; Unit: 255, Func:   3: Read Holding Registers"
"70","0.005222","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13011; Unit: 255, Func:   3: Read Holding Registers"
