"No.","Time","Source","Destination","Protocol","Length","Info"
"1063","0.014745","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13489; Unit: 255, Func:   3: Read Holding Registers"
"1067","0.285335","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13490; Unit: 255, Func:   3: Read Holding Registers"
"1068","0.036699","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13490; Unit: 255, Func:   3: Read Holding Registers"
"1070","0.263369","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13491; Unit: 255, Func:   3: Read Holding Registers"
"1071","0.013316","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13491; Unit: 255, Func:   3: Read Holding Registers"
"1083","1.086887","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13492; Unit: 255, Func:   3: Read Holding Registers"
"1084","0.024166","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13492; Unit: 255, Func:   3: Read Holding Registers"
"1087","0.276360","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13493; Unit: 255, Func:   3: Read Holding Registers"
"1088","0.013968","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13493; Unit: 255, Func:   3: Read Holding Registers"
"1091","0.286126","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13494; Unit: 255, Func:   3: Read Holding Registers"
"1092","0.022913","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13494; Unit: 255, Func:   3: Read Holding Registers"
"1094","0.277166","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13495; Unit: 255, Func:   3: Read Holding Registers"
"1095","0.013843","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13495; Unit: 255, Func:   3: Read Holding Registers"
"1105","1.091305","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13496; Unit: 255, Func:   3: Read Holding Registers"
"1106","0.016756","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13496; Unit: 255, Func:   3: Read Holding Registers"
"1111","0.278582","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13497; Unit: 255, Func:   3: Read Holding Registers"
"1112","0.015473","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13497; Unit: 255, Func:   3: Read Holding Registers"
"1116","0.284729","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13498; Unit: 255, Func:   3: Read Holding Registers"
"1117","0.010273","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13498; Unit: 255, Func:   3: Read Holding Registers"
"1120","0.290116","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13499; Unit: 255, Func:   3: Read Holding Registers"
"1121","0.039981","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13499; Unit: 255, Func:   3: Read Holding Registers"
"1131","1.063450","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13500; Unit: 255, Func:   3: Read Holding Registers"
"1132","0.015238","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13500; Unit: 255, Func:   3: Read Holding Registers"
"1139","0.281822","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13501; Unit: 255, Func:   3: Read Holding Registers"
"1140","0.009462","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13501; Unit: 255, Func:   3: Read Holding Registers"
"1142","0.290582","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13502; Unit: 255, Func:   3: Read Holding Registers"
"1143","0.010462","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13502; Unit: 255, Func:   3: Read Holding Registers"
"1148","0.289745","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13503; Unit: 255, Func:   3: Read Holding Registers"
"1149","0.006296","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13503; Unit: 255, Func:   3: Read Holding Registers"
"1172","1.094500","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13504; Unit: 255, Func:   3: Read Holding Registers"
"1173","0.008271","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13504; Unit: 255, Func:   3: Read Holding Registers"
"1176","0.291278","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13505; Unit: 255, Func:   3: Read Holding Registers"
"1177","0.022704","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13505; Unit: 255, Func:   3: Read Holding Registers"
"1179","0.277460","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13506; Unit: 255, Func:   3: Read Holding Registers"
"1180","0.020532","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13506; Unit: 255, Func:   3: Read Holding Registers"
"1182","0.279506","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13507; Unit: 255, Func:   3: Read Holding Registers"
"1183","0.014861","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13507; Unit: 255, Func:   3: Read Holding Registers"
"1196","1.086045","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13508; Unit: 255, Func:   3: Read Holding Registers"
"1197","0.012018","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13508; Unit: 255, Func:   3: Read Holding Registers"
"1199","0.287800","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13509; Unit: 255, Func:   3: Read Holding Registers"
"1200","0.016529","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13509; Unit: 255, Func:   3: Read Holding Registers"
"1202","0.283642","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13510; Unit: 255, Func:   3: Read Holding Registers"
"1203","0.026834","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13510; Unit: 255, Func:   3: Read Holding Registers"
"1205","0.273186","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13511; Unit: 255, Func:   3: Read Holding Registers"
"1206","0.023080","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13511; Unit: 255, Func:   3: Read Holding Registers"
