"No.","Time","Source","Destination","Protocol","Length","Info"
"60","0.000000","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  1865; Unit: 255, Func:   3: Read Holding Registers"
"61","0.006176","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  1865; Unit: 255, Func:   3: Read Holding Registers"
"88","0.293540","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  1866; Unit: 255, Func:   3: Read Holding Registers"
"89","0.006081","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  1866; Unit: 255, Func:   3: Read Holding Registers"
"105","0.293834","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  1867; Unit: 255, Func:   3: Read Holding Registers"
"106","0.006015","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  1867; Unit: 255, Func:   3: Read Holding Registers"
"115","0.294165","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  1868; Unit: 255, Func:   3: Read Holding Registers"
"116","0.005052","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  1868; Unit: 255, Func:   3: Read Holding Registers"
"194","1.095909","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  1869; Unit: 255, Func:   3: Read Holding Registers"
"201","0.047148","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  1869; Unit: 255, Func:   3: Read Holding Registers"
"250","0.252669","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  1870; Unit: 255, Func:   3: Read Holding Registers"
"256","0.025380","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  1870; Unit: 255, Func:   3: Read Holding Registers"
"316","0.274696","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  1871; Unit: 255, Func:   3: Read Holding Registers"
"320","0.016099","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  1871; Unit: 255, Func:   3: Read Holding Registers"
"383","0.292394","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  1872; Unit: 255, Func:   3: Read Holding Registers"
"391","0.041439","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  1872; Unit: 255, Func:   3: Read Holding Registers"
"629","1.051075","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  1873; Unit: 255, Func:   3: Read Holding Registers"
"631","0.011372","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  1873; Unit: 255, Func:   3: Read Holding Registers"
"694","0.288415","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  1874; Unit: 255, Func:   3: Read Holding Registers"
"699","0.019415","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  1874; Unit: 255, Func:   3: Read Holding Registers"
"760","0.280805","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  1875; Unit: 255, Func:   3: Read Holding Registers"
"766","0.025219","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  1875; Unit: 255, Func:   3: Read Holding Registers"
"821","0.274616","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  1876; Unit: 255, Func:   3: Read Holding Registers"
"825","0.016310","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  1876; Unit: 255, Func:   3: Read Holding Registers"
"1065","1.084402","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  1877; Unit: 255, Func:   3: Read Holding Registers"
"1070","0.018892","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  1877; Unit: 255, Func:   3: Read Holding Registers"
"1134","0.281255","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  1878; Unit: 255, Func:   3: Read Holding Registers"
"1143","0.038867","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  1878; Unit: 255, Func:   3: Read Holding Registers"
"1199","0.261291","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  1879; Unit: 255, Func:   3: Read Holding Registers"
