"No.","Time","Source","Destination","Protocol","Length","Info"
"4","0.000000","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  1387; Unit: 255, Func:   3: Read Holding Registers"
"5","0.005869","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  1387; Unit: 255, Func:   3: Read Holding Registers"
"14","0.294261","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  1388; Unit: 255, Func:   3: Read Holding Registers"
"15","0.005988","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  1388; Unit: 255, Func:   3: Read Holding Registers"
"61","1.094509","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  1389; Unit: 255, Func:   3: Read Holding Registers"
"62","0.012146","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  1389; Unit: 255, Func:   3: Read Holding Registers"
"72","0.288125","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  1390; Unit: 255, Func:   3: Read Holding Registers"
"73","0.007096","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  1390; Unit: 255, Func:   3: Read Holding Registers"
"82","0.293174","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  1391; Unit: 255, Func:   3: Read Holding Registers"
"85","0.023048","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  1391; Unit: 255, Func:   3: Read Holding Registers"
"88","0.276994","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  1392; Unit: 255, Func:   3: Read Holding Registers"
"89","0.007054","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  1392; Unit: 255, Func:   3: Read Holding Registers"
"112","1.093524","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  1393; Unit: 255, Func:   3: Read Holding Registers"
"113","0.006458","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  1393; Unit: 255, Func:   3: Read Holding Registers"
"138","0.293414","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  1394; Unit: 255, Func:   3: Read Holding Registers"
"147","0.040380","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  1394; Unit: 255, Func:   3: Read Holding Registers"
"186","0.260046","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  1395; Unit: 255, Func:   3: Read Holding Registers"
"192","0.026237","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  1395; Unit: 255, Func:   3: Read Holding Registers"
"242","0.273561","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  1396; Unit: 255, Func:   3: Read Holding Registers"
"249","0.018183","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  1396; Unit: 255, Func:   3: Read Holding Registers"
"533","1.082614","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  1397; Unit: 255, Func:   3: Read Holding Registers"
