"No.","Time","Source","Destination","Protocol","Length","Info"
"652","0.292811","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   840; Unit: 255, Func:   3: Read Holding Registers"
"653","0.007316","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   840; Unit: 255, Func:   3: Read Holding Registers"
"768","1.093685","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   841; Unit: 255, Func:   3: Read Holding Registers"
"777","0.044241","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   841; Unit: 255, Func:   3: Read Holding Registers"
"836","0.255693","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   842; Unit: 255, Func:   3: Read Holding Registers"
"837","0.017286","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   842; Unit: 255, Func:   3: Read Holding Registers"
"901","0.282770","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   843; Unit: 255, Func:   3: Read Holding Registers"
"908","0.015125","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   843; Unit: 255, Func:   3: Read Holding Registers"
"967","0.286317","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   844; Unit: 255, Func:   3: Read Holding Registers"
"968","0.004784","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   844; Unit: 255, Func:   3: Read Holding Registers"
"1211","1.094433","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   845; Unit: 255, Func:   3: Read Holding Registers"
"1214","0.027050","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   845; Unit: 255, Func:   3: Read Holding Registers"
"1281","0.272875","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   846; Unit: 255, Func:   3: Read Holding Registers"
"1285","0.031019","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   846; Unit: 255, Func:   3: Read Holding Registers"
"1343","0.269134","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   847; Unit: 255, Func:   3: Read Holding Registers"
"1345","0.008612","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   847; Unit: 255, Func:   3: Read Holding Registers"
"1400","0.291854","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   848; Unit: 255, Func:   3: Read Holding Registers"
"1401","0.014171","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   848; Unit: 255, Func:   3: Read Holding Registers"
"1655","1.085835","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   849; Unit: 255, Func:   3: Read Holding Registers"
"1660","0.019110","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   849; Unit: 255, Func:   3: Read Holding Registers"
"1726","0.281426","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   850; Unit: 255, Func:   3: Read Holding Registers"
"1729","0.014964","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   850; Unit: 255, Func:   3: Read Holding Registers"
"1790","0.285394","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   851; Unit: 255, Func:   3: Read Holding Registers"
"1797","0.030657","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   851; Unit: 255, Func:   3: Read Holding Registers"
"1855","0.269156","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   852; Unit: 255, Func:   3: Read Holding Registers"
"1862","0.039573","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   852; Unit: 255, Func:   3: Read Holding Registers"
"2107","1.060602","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   853; Unit: 255, Func:   3: Read Holding Registers"
"2108","0.012361","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   853; Unit: 255, Func:   3: Read Holding Registers"
"2180","0.287735","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   854; Unit: 255, Func:   3: Read Holding Registers"
"2183","0.012280","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   854; Unit: 255, Func:   3: Read Holding Registers"
"2242","0.288238","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   855; Unit: 255, Func:   3: Read Holding Registers"
"2244","0.011173","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   855; Unit: 255, Func:   3: Read Holding Registers"
"2294","0.288935","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   856; Unit: 255, Func:   3: Read Holding Registers"
"2296","0.011035","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   856; Unit: 255, Func:   3: Read Holding Registers"
"2587","1.098824","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   857; Unit: 255, Func:   3: Read Holding Registers"
"2592","0.017899","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   857; Unit: 255, Func:   3: Read Holding Registers"
"2662","0.272673","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   858; Unit: 255, Func:   3: Read Holding Registers"
"2664","0.012713","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   858; Unit: 255, Func:   3: Read Holding Registers"
"2731","0.287505","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   859; Unit: 255, Func:   3: Read Holding Registers"
"2736","0.015502","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   859; Unit: 255, Func:   3: Read Holding Registers"
"2805","0.284574","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   860; Unit: 255, Func:   3: Read Holding Registers"
"2810","0.017463","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   860; Unit: 255, Func:   3: Read Holding Registers"
"3060","1.093696","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   861; Unit: 255, Func:   3: Read Holding Registers"
"3065","0.022029","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   861; Unit: 255, Func:   3: Read Holding Registers"
"3123","0.267348","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   862; Unit: 255, Func:   3: Read Holding Registers"
"3128","0.027151","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   862; Unit: 255, Func:   3: Read Holding Registers"
"3185","0.273398","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   863; Unit: 255, Func:   3: Read Holding Registers"
