"No.","Time","Source","Destination","Protocol","Length","Info"
"72","0.000000","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2461; Unit: 255, Func:   3: Read Holding Registers"
"73","0.005780","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2461; Unit: 255, Func:   3: Read Holding Registers"
"78","0.294237","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2462; Unit: 255, Func:   3: Read Holding Registers"
"79","0.012910","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2462; Unit: 255, Func:   3: Read Holding Registers"
"85","0.287607","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2463; Unit: 255, Func:   3: Read Holding Registers"
"86","0.006409","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2463; Unit: 255, Func:   3: Read Holding Registers"
"90","0.293635","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2464; Unit: 255, Func:   3: Read Holding Registers"
"91","0.005172","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2464; Unit: 255, Func:   3: Read Holding Registers"
"168","1.095420","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2465; Unit: 255, Func:   3: Read Holding Registers"
"173","0.035695","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2465; Unit: 255, Func:   3: Read Holding Registers"
"228","0.264367","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2466; Unit: 255, Func:   3: Read Holding Registers"
"232","0.018577","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2466; Unit: 255, Func:   3: Read Holding Registers"
"288","0.281288","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2467; Unit: 255, Func:   3: Read Holding Registers"
"291","0.011936","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2467; Unit: 255, Func:   3: Read Holding Registers"
"342","0.288071","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2468; Unit: 255, Func:   3: Read Holding Registers"
"345","0.013018","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2468; Unit: 255, Func:   3: Read Holding Registers"
"600","1.087935","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2469; Unit: 255, Func:   3: Read Holding Registers"
"605","0.030138","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2469; Unit: 255, Func:   3: Read Holding Registers"
"664","0.269793","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2470; Unit: 255, Func:   3: Read Holding Registers"
"667","0.015938","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2470; Unit: 255, Func:   3: Read Holding Registers"
"725","0.284261","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2471; Unit: 255, Func:   3: Read Holding Registers"
"730","0.029724","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2471; Unit: 255, Func:   3: Read Holding Registers"
"786","0.270458","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2472; Unit: 255, Func:   3: Read Holding Registers"
"789","0.009582","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2472; Unit: 255, Func:   3: Read Holding Registers"
"1042","1.091147","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2473; Unit: 255, Func:   3: Read Holding Registers"
"1046","0.015183","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2473; Unit: 255, Func:   3: Read Holding Registers"
"1109","0.284886","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2474; Unit: 255, Func:   3: Read Holding Registers"
"1114","0.027142","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2474; Unit: 255, Func:   3: Read Holding Registers"
"1170","0.272846","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2475; Unit: 255, Func:   3: Read Holding Registers"
"1177","0.020602","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2475; Unit: 255, Func:   3: Read Holding Registers"
"1234","0.279438","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2476; Unit: 255, Func:   3: Read Holding Registers"
"1237","0.011120","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2476; Unit: 255, Func:   3: Read Holding Registers"
"1524","1.089936","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2477; Unit: 255, Func:   3: Read Holding Registers"
"1535","0.012939","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2477; Unit: 255, Func:   3: Read Holding Registers"
"1590","0.286945","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2478; Unit: 255, Func:   3: Read Holding Registers"
"1592","0.011366","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2478; Unit: 255, Func:   3: Read Holding Registers"
"1666","0.288579","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2479; Unit: 255, Func:   3: Read Holding Registers"
"1669","0.017032","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2479; Unit: 255, Func:   3: Read Holding Registers"
"1732","0.283032","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2480; Unit: 255, Func:   3: Read Holding Registers"
"1742","0.031026","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2480; Unit: 255, Func:   3: Read Holding Registers"
"1982","1.069728","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2481; Unit: 255, Func:   3: Read Holding Registers"
"1987","0.049658","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2481; Unit: 255, Func:   3: Read Holding Registers"
"2042","0.250437","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2482; Unit: 255, Func:   3: Read Holding Registers"
"2043","0.008562","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2482; Unit: 255, Func:   3: Read Holding Registers"
"2112","0.291672","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2483; Unit: 255, Func:   3: Read Holding Registers"
"2119","0.020313","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2483; Unit: 255, Func:   3: Read Holding Registers"
"2177","0.279484","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2484; Unit: 255, Func:   3: Read Holding Registers"
"2181","0.024309","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2484; Unit: 255, Func:   3: Read Holding Registers"
"2426","1.076120","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2485; Unit: 255, Func:   3: Read Holding Registers"
"2429","0.014180","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2485; Unit: 255, Func:   3: Read Holding Registers"
"2496","0.286245","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2486; Unit: 255, Func:   3: Read Holding Registers"
"2499","0.030720","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2486; Unit: 255, Func:   3: Read Holding Registers"
"2562","0.269300","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2487; Unit: 255, Func:   3: Read Holding Registers"
"2565","0.013790","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2487; Unit: 255, Func:   3: Read Holding Registers"
"2628","0.286218","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2488; Unit: 255, Func:   3: Read Holding Registers"
"2635","0.022502","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2488; Unit: 255, Func:   3: Read Holding Registers"
"2849","0.978440","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2489; Unit: 255, Func:   3: Read Holding Registers"
"2852","0.013939","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2489; Unit: 255, Func:   3: Read Holding Registers"
"2918","0.285525","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2490; Unit: 255, Func:   3: Read Holding Registers"
"2923","0.043108","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2490; Unit: 255, Func:   3: Read Holding Registers"
"2982","0.257337","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2491; Unit: 255, Func:   3: Read Holding Registers"
"2988","0.036824","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2491; Unit: 255, Func:   3: Read Holding Registers"
"3049","0.265466","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2492; Unit: 255, Func:   3: Read Holding Registers"
"3057","0.024791","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2492; Unit: 255, Func:   3: Read Holding Registers"
"3295","1.073928","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2493; Unit: 255, Func:   3: Read Holding Registers"
"3298","0.013107","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2493; Unit: 255, Func:   3: Read Holding Registers"
"3363","0.286420","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2494; Unit: 255, Func:   3: Read Holding Registers"
"3372","0.027287","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2494; Unit: 255, Func:   3: Read Holding Registers"
"3447","0.273033","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2495; Unit: 255, Func:   3: Read Holding Registers"
"3451","0.023130","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2495; Unit: 255, Func:   3: Read Holding Registers"
"3522","0.276853","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2496; Unit: 255, Func:   3: Read Holding Registers"
"3531","0.013979","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2496; Unit: 255, Func:   3: Read Holding Registers"
"3809","1.087250","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2497; Unit: 255, Func:   3: Read Holding Registers"
"3811","0.011201","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2497; Unit: 255, Func:   3: Read Holding Registers"
"3869","0.288661","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2498; Unit: 255, Func:   3: Read Holding Registers"
"3874","0.024258","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2498; Unit: 255, Func:   3: Read Holding Registers"
"3941","0.287084","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2499; Unit: 255, Func:   3: Read Holding Registers"
"3947","0.013754","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2499; Unit: 255, Func:   3: Read Holding Registers"
"4009","0.274794","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2500; Unit: 255, Func:   3: Read Holding Registers"
"4016","0.031497","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2500; Unit: 255, Func:   3: Read Holding Registers"
"4257","1.069538","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2501; Unit: 255, Func:   3: Read Holding Registers"
"4266","0.045570","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2501; Unit: 255, Func:   3: Read Holding Registers"
"4321","0.254421","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2502; Unit: 255, Func:   3: Read Holding Registers"
"4326","0.018578","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2502; Unit: 255, Func:   3: Read Holding Registers"
"4390","0.281409","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2503; Unit: 255, Func:   3: Read Holding Registers"
"4395","0.022233","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2503; Unit: 255, Func:   3: Read Holding Registers"
"4447","0.277836","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2504; Unit: 255, Func:   3: Read Holding Registers"
"4451","0.012250","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2504; Unit: 255, Func:   3: Read Holding Registers"
"4694","1.088330","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2505; Unit: 255, Func:   3: Read Holding Registers"
"4699","0.020062","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2505; Unit: 255, Func:   3: Read Holding Registers"
"4767","0.279704","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2506; Unit: 255, Func:   3: Read Holding Registers"
"4772","0.034275","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2506; Unit: 255, Func:   3: Read Holding Registers"
"4829","0.265930","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2507; Unit: 255, Func:   3: Read Holding Registers"
"4834","0.013759","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  2507; Unit: 255, Func:   3: Read Holding Registers"
"4892","0.301799","192.168.0.212","192.168.0.211","Modbus/TCP","65","[TCP ACKed unseen segment] Response: Trans:  2508; Unit: 255, Func:   3: Read Holding Registers"
"5151","1.085344","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  2509; Unit: 255, Func:   3: Read Holding Registers"
