"No.","Time","Source","Destination","Protocol","Length","Info"
"19","0.000000","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 11154; Unit: 255, Func:   3: Read Holding Registers"
"20","0.012888","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 11154; Unit: 255, Func:   3: Read Holding Registers"
"26","0.279704","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 11155; Unit: 255, Func:   3: Read Holding Registers"
"27","0.005222","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 11155; Unit: 255, Func:   3: Read Holding Registers"
"35","0.294627","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 11156; Unit: 255, Func:   3: Read Holding Registers"
"36","0.005478","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 11156; Unit: 255, Func:   3: Read Holding Registers"
"45","0.294994","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 11157; Unit: 255, Func:   3: Read Holding Registers"
"46","0.011253","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 11157; Unit: 255, Func:   3: Read Holding Registers"
"76","1.089281","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 11158; Unit: 255, Func:   3: Read Holding Registers"
"77","0.005476","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 11158; Unit: 255, Func:   3: Read Holding Registers"
"85","0.294481","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 11159; Unit: 255, Func:   3: Read Holding Registers"
"86","0.005508","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 11159; Unit: 255, Func:   3: Read Holding Registers"
"97","0.294690","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 11160; Unit: 255, Func:   3: Read Holding Registers"
"98","0.006540","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 11160; Unit: 255, Func:   3: Read Holding Registers"
"109","0.293373","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 11161; Unit: 255, Func:   3: Read Holding Registers"
"114","0.039529","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 11161; Unit: 255, Func:   3: Read Holding Registers"
"127","1.061197","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 11162; Unit: 255, Func:   3: Read Holding Registers"
"128","0.006866","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 11162; Unit: 255, Func:   3: Read Holding Registers"
"143","0.293058","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 11163; Unit: 255, Func:   3: Read Holding Registers"
