"No.","Time","Source","Destination","Protocol","Length","Info"
"8","0.000000","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10804; Unit: 255, Func:   3: Read Holding Registers"
"11","0.020770","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10804; Unit: 255, Func:   3: Read Holding Registers"
"14","0.283616","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10805; Unit: 255, Func:   3: Read Holding Registers"
"15","0.002346","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10805; Unit: 255, Func:   3: Read Holding Registers"
"65","1.094325","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10806; Unit: 255, Func:   3: Read Holding Registers"
"71","0.023012","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10806; Unit: 255, Func:   3: Read Holding Registers"
"77","0.276892","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10807; Unit: 255, Func:   3: Read Holding Registers"
"78","0.005159","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10807; Unit: 255, Func:   3: Read Holding Registers"
"89","0.294997","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10808; Unit: 255, Func:   3: Read Holding Registers"
"90","0.003791","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10808; Unit: 255, Func:   3: Read Holding Registers"
"93","0.296028","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10809; Unit: 255, Func:   3: Read Holding Registers"
"94","0.008154","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10809; Unit: 255, Func:   3: Read Holding Registers"
"266","1.092607","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10810; Unit: 255, Func:   3: Read Holding Registers"
"270","0.020472","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10810; Unit: 255, Func:   3: Read Holding Registers"
"328","0.279470","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10811; Unit: 255, Func:   3: Read Holding Registers"
"331","0.016273","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10811; Unit: 255, Func:   3: Read Holding Registers"
"398","0.284068","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10812; Unit: 255, Func:   3: Read Holding Registers"
"402","0.029924","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10812; Unit: 255, Func:   3: Read Holding Registers"
"461","0.270037","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10813; Unit: 255, Func:   3: Read Holding Registers"
"463","0.009432","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10813; Unit: 255, Func:   3: Read Holding Registers"
"682","1.091031","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10814; Unit: 255, Func:   3: Read Holding Registers"
"688","0.022620","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10814; Unit: 255, Func:   3: Read Holding Registers"
"749","0.278092","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10815; Unit: 255, Func:   3: Read Holding Registers"
"754","0.018938","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10815; Unit: 255, Func:   3: Read Holding Registers"
"811","0.287266","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10816; Unit: 255, Func:   3: Read Holding Registers"
"812","0.003861","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10816; Unit: 255, Func:   3: Read Holding Registers"
"872","0.290003","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10817; Unit: 255, Func:   3: Read Holding Registers"
"880","0.049197","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10817; Unit: 255, Func:   3: Read Holding Registers"
"1109","1.051197","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10818; Unit: 255, Func:   3: Read Holding Registers"
"1116","0.039554","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10818; Unit: 255, Func:   3: Read Holding Registers"
"1176","0.262485","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10819; Unit: 255, Func:   3: Read Holding Registers"
"1178","0.016008","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10819; Unit: 255, Func:   3: Read Holding Registers"
