"No.","Time","Source","Destination","Protocol","Length","Info"
"5","0.000000","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10383; Unit: 255, Func:   3: Read Holding Registers"
"6","0.004939","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10383; Unit: 255, Func:   3: Read Holding Registers"
"13","0.294908","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10384; Unit: 255, Func:   3: Read Holding Registers"
"16","0.038159","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10384; Unit: 255, Func:   3: Read Holding Registers"
"20","0.262410","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10385; Unit: 255, Func:   3: Read Holding Registers"
"21","0.006609","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10385; Unit: 255, Func:   3: Read Holding Registers"
"50","1.094168","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10386; Unit: 255, Func:   3: Read Holding Registers"
"52","0.024915","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10386; Unit: 255, Func:   3: Read Holding Registers"
"60","0.274930","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10387; Unit: 255, Func:   3: Read Holding Registers"
"61","0.007045","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10387; Unit: 255, Func:   3: Read Holding Registers"
"70","0.292953","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10388; Unit: 255, Func:   3: Read Holding Registers"
"71","0.006042","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10388; Unit: 255, Func:   3: Read Holding Registers"
"80","0.294142","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10389; Unit: 255, Func:   3: Read Holding Registers"
"81","0.007913","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10389; Unit: 255, Func:   3: Read Holding Registers"
"88","1.092919","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10390; Unit: 255, Func:   3: Read Holding Registers"
"89","0.004161","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10390; Unit: 255, Func:   3: Read Holding Registers"
"117","0.295308","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10391; Unit: 255, Func:   3: Read Holding Registers"
"132","0.033743","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10391; Unit: 255, Func:   3: Read Holding Registers"
"174","0.266596","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10392; Unit: 255, Func:   3: Read Holding Registers"
"182","0.031077","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10392; Unit: 255, Func:   3: Read Holding Registers"
"250","0.268999","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10393; Unit: 255, Func:   3: Read Holding Registers"
"256","0.011108","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10393; Unit: 255, Func:   3: Read Holding Registers"
"496","1.089820","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10394; Unit: 255, Func:   3: Read Holding Registers"
"501","0.019263","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10394; Unit: 255, Func:   3: Read Holding Registers"
"560","0.280647","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10395; Unit: 255, Func:   3: Read Holding Registers"
"565","0.046612","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10395; Unit: 255, Func:   3: Read Holding Registers"
"621","0.253488","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10396; Unit: 255, Func:   3: Read Holding Registers"
"624","0.019482","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10396; Unit: 255, Func:   3: Read Holding Registers"
"689","0.288600","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10397; Unit: 255, Func:   3: Read Holding Registers"
"691","0.015892","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10397; Unit: 255, Func:   3: Read Holding Registers"
"925","1.076722","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10398; Unit: 255, Func:   3: Read Holding Registers"
"928","0.028031","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 10398; Unit: 255, Func:   3: Read Holding Registers"
