"No.","Time","Source","Destination","Protocol","Length","Info"
"11","0.000000","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9990; Unit: 255, Func:   3: Read Holding Registers"
"14","0.022977","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9990; Unit: 255, Func:   3: Read Holding Registers"
"19","0.277221","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9991; Unit: 255, Func:   3: Read Holding Registers"
"20","0.003635","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9991; Unit: 255, Func:   3: Read Holding Registers"
"28","0.296417","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9992; Unit: 255, Func:   3: Read Holding Registers"
"29","0.003604","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9992; Unit: 255, Func:   3: Read Holding Registers"
"38","0.296838","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9993; Unit: 255, Func:   3: Read Holding Registers"
"39","0.005331","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9993; Unit: 255, Func:   3: Read Holding Registers"
"59","1.095031","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9994; Unit: 255, Func:   3: Read Holding Registers"
"60","0.007955","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9994; Unit: 255, Func:   3: Read Holding Registers"
"65","0.292174","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9995; Unit: 255, Func:   3: Read Holding Registers"
"66","0.006903","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9995; Unit: 255, Func:   3: Read Holding Registers"
"75","0.293420","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9996; Unit: 255, Func:   3: Read Holding Registers"
"82","0.045487","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9996; Unit: 255, Func:   3: Read Holding Registers"
"132","0.254625","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9997; Unit: 255, Func:   3: Read Holding Registers"
"137","0.039364","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9997; Unit: 255, Func:   3: Read Holding Registers"
"378","1.060962","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9998; Unit: 255, Func:   3: Read Holding Registers"
"384","0.019081","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9998; Unit: 255, Func:   3: Read Holding Registers"
"442","0.280982","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9999; Unit: 255, Func:   3: Read Holding Registers"
"447","0.036071","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9999; Unit: 255, Func:   3: Read Holding Registers"
"501","0.264114","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 10000; Unit: 255, Func:   3: Read Holding Registers"
