"No.","Time","Source","Destination","Protocol","Length","Info"
"1786","1.087569","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   345; Unit: 255, Func:   3: Read Holding Registers"
"1789","0.016019","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   345; Unit: 255, Func:   3: Read Holding Registers"
"1852","0.283914","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   346; Unit: 255, Func:   3: Read Holding Registers"
"1855","0.016674","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   346; Unit: 255, Func:   3: Read Holding Registers"
"1924","0.283553","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   347; Unit: 255, Func:   3: Read Holding Registers"
"1932","0.041374","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   347; Unit: 255, Func:   3: Read Holding Registers"
"1990","0.258650","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   348; Unit: 255, Func:   3: Read Holding Registers"
"1993","0.013722","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   348; Unit: 255, Func:   3: Read Holding Registers"
"2248","1.087096","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   349; Unit: 255, Func:   3: Read Holding Registers"
"2251","0.021970","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   349; Unit: 255, Func:   3: Read Holding Registers"
"2314","0.278129","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   350; Unit: 255, Func:   3: Read Holding Registers"
"2320","0.022688","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   350; Unit: 255, Func:   3: Read Holding Registers"
"2379","0.277282","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   351; Unit: 255, Func:   3: Read Holding Registers"
"2381","0.010665","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   351; Unit: 255, Func:   3: Read Holding Registers"
"2441","0.289950","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   352; Unit: 255, Func:   3: Read Holding Registers"
"2446","0.026354","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   352; Unit: 255, Func:   3: Read Holding Registers"
"2718","1.073940","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   353; Unit: 255, Func:   3: Read Holding Registers"
"2724","0.032119","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   353; Unit: 255, Func:   3: Read Holding Registers"
"2797","0.268003","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   354; Unit: 255, Func:   3: Read Holding Registers"
"2798","0.005027","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   354; Unit: 255, Func:   3: Read Holding Registers"
"2862","0.308333","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   355; Unit: 255, Func:   3: Read Holding Registers"
"2865","0.015588","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   355; Unit: 255, Func:   3: Read Holding Registers"
"2929","0.270982","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   356; Unit: 255, Func:   3: Read Holding Registers"
"2932","0.013849","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   356; Unit: 255, Func:   3: Read Holding Registers"
"3183","1.086902","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   357; Unit: 255, Func:   3: Read Holding Registers"
"3194","0.047448","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   357; Unit: 255, Func:   3: Read Holding Registers"
"3255","0.252461","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   358; Unit: 255, Func:   3: Read Holding Registers"
"3258","0.036541","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   358; Unit: 255, Func:   3: Read Holding Registers"
"3317","0.263836","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   359; Unit: 255, Func:   3: Read Holding Registers"
"3320","0.016027","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   359; Unit: 255, Func:   3: Read Holding Registers"
"3385","0.292472","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   360; Unit: 255, Func:   3: Read Holding Registers"
"3393","0.034402","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   360; Unit: 255, Func:   3: Read Holding Registers"
"3634","1.057479","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   361; Unit: 255, Func:   3: Read Holding Registers"
"3638","0.015922","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   361; Unit: 255, Func:   3: Read Holding Registers"
"3699","0.284412","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   362; Unit: 255, Func:   3: Read Holding Registers"
"3701","0.011582","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   362; Unit: 255, Func:   3: Read Holding Registers"
"3757","0.288639","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   363; Unit: 255, Func:   3: Read Holding Registers"
"3762","0.037375","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   363; Unit: 255, Func:   3: Read Holding Registers"
"3819","0.262479","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   364; Unit: 255, Func:   3: Read Holding Registers"
"3824","0.023268","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   364; Unit: 255, Func:   3: Read Holding Registers"
"4061","1.077262","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   365; Unit: 255, Func:   3: Read Holding Registers"
